State,StateName,poverty,D2-FoodStamps-S2201,citizen,computer,alcohol,R2-HealthCare,tobacco,seatbelt,R5-HIVTest,
AL,Alabama,19.3,15.83414665,95.8463118,62.40462981,40.1,86.1,21.1,87.2,38.4, 
AK,Alaska,11.2,10.29644435,90.1341329,76.36461934,56.7,85,19.9,84.1,42,
AZ,Arizona,18.2,13.1420245,84.88624499,72.19452162,51.7,85.6,16.5,85.5,33.6,
AR,Arkansas,18.9,14.36999243,94.60164936,57.60271966,39.9,83.7,24.7,82.4,34.1,
CA,California,16.4,9.530672842,71.62665292,76.49192307,53.6,85.2,12.9,93.7,40.5,
CO,Colorado,12,8.865547619,88.42769778,77.9760598,61.2,87.2,15.7,85.1,35,
CT,Connecticut,10.8,12.7691274,82.58459128,82.43614758,60.8,91.3,15.4,89.2,35,
DE,Delaware,12.5,12.91462588,89.73144908,74.5296142,52.9,91.4,19.9,92,39.1,
DC,District of Columbia,17.7,14.07285365,84.19728241,70.61235047,67.4,91.7,16.4,87.2,69.3,
FL,Florida,16.5,14.81884803,76.61601795,74.70694694,54.4,82.4,17.7,87.3,43.1,
GA,Georgia,18.3,15.65155995,88.77766161,71.15247771,48.1,79.1,17.4,88.7,43.7,
HI,Hawaii,11.4,11.70599575,78.92214565,80.03606368,51,91.9,14.1,93.7,31.1,
ID,Idaho,14.8,11.80096926,93.12796122,70.10654492,48.5,83.5,15.9,75.5,28.8,
IL,Illinois,14.4,13.6759938,85.03993609,73.72647587,57.2,88.1,16.5,88.5,29,
IN,Indiana,15.2,12.76857075,94.53757889,69.80418938,47.9,85.3,22.9,85.2,30.4,
IA,Iowa,12.2,11.93761272,94.51654037,72.53477405,58.7,92.3,18.5,85.3,24.7,
KS,Kansas,13.6,9.540152171,92.07729558,72.49128021,51.5,85.5,18.1,79.2,26.5,
KY,Kentucky,19.1,17.49232227,95.72928885,67.30973522,37.2,90,26.2,83.1,32.9,
LA,Louisiana,19.8,15.69496809,95.16605028,63.89862591,49.4,81.3,24,89.7,43.4,
ME,Maine,14.1,16.86196555,95.28024065,76.68918058,59.2,89,19.3,83.9,30.9,
MD,Maryland,10.1,11.55225871,83.71391038,79.28044666,53.3,90.8,14.6,91.4,44.6,
MA,Massachusetts,11.6,12.97792837,81.47762152,82.48413608,61.9,95.4,14.7,81.9,36.7,
MI,Michigan,16.2,16.15725762,92.91551247,71.9088413,57,89.7,21.2,87.7,34.2,
MN,Minnesota,11.5,9.219775549,91.41298984,77.77642289,61.7,92.7,16.3,89.3,26.5,
MS,Mississippi,21.5,18.07381302,97.1499082,54.05603323,38.8,81.2,23,81.4,37.9,
MO,Missouri,15.5,12.77929548,95.55421715,68.97989834,45.5,87.1,20.6,78,31,
MT,Montana,15.4,11.14677269,96.68144813,71.20616231,59.6,87.1,19.9,72.1,31.6,
NE,Nebraska,12.4,9.374497985,92.61138568,74.02145619,59.2,87.7,17.3,72.4,26,
NV,Nevada,15.2,12.33329972,78.86900034,73.47321591,50.6,82.9,17,88.7,40.7,
NH,New Hampshire,9.2,7.933915145,92.99109973,83.86942291,62.5,88.6,17.5,69.7,31,
NJ,New Jersey,11.1,9.232281764,75.68747535,82.91435917,56.3,87.6,15.1,89.4,36,
NM,New Mexico,21.3,15.54442277,88.97544654,61.19171258,47.8,84.6,19.2,90.8,32.6,
NY,New York,15.9,15.59895518,74.89908325,77.93706137,54.5,87.7,14.4,87.2,45.5,
NC,North Carolina,17.2,14.39859443,91.18536632,69.95282858,46.2,83.9,19.1,92.6,41.9,
ND,North Dakota,11.5,8.195959153,96.06062081,75.2334659,61.2,91.2,19.9,69.7,25.6,
OH,Ohio,15.8,14.94805768,95.07754031,72.67196088,53.1,89.8,21,81.1,29.8,
OK,Oklahoma,16.6,13.79303022,93.16615485,63.34837138,41.7,86.1,21.1,83.1,24.9,
OR,Oregon,16.6,18.91774139,88.93429338,75.63570572,59,89,17,92.6,35.1,
PA,Pennsylvania,13.6,13.03949962,91.90952459,75.54576088,54.6,89.9,19.9,76.9,31.1,
RI,Rhode Island,14.3,17.46107691,84.47562627,77.93129507,63.2,92,16.3,86.9,34.8,
SC,South Carolina,18,14.32853435,94.14038169,67.067044,47.3,82.9,21.5,88.2,37,
SD,South Dakota,14.2,10.94880036,96.48770768,71.48355579,55.6,90.1,18.6,63.3,22.4,
TN,Tennessee,18.3,17.5798762,94.28122049,65.57774301,40.5,85.8,24.2,85.2,39.5,
TX,Texas,17.2,13.14588879,81.87847457,66.39154287,48,75.1,14.5,91,36.6,
UT,Utah,11.7,8.144974248,90.53114919,79.36749352,29.8,86.1,9.7,80.3,21.6,
VT,Vermont,12.2,14.30281967,94.88382634,77.84054051,64.3,93.3,16.4,84.1,31.2,
VA,Virginia,11.8,9.861502941,86.11121954,75.11608619,51.7,87,19.5,87.2,41.1,
WA,Washington,13.2,14.10519701,84.91686646,79.26642673,59.5,89.3,15.3,92.2,35.6,
WV,West Virginia,18.3,16.38429373,98.17302465,68.09637302,32.7,89.9,26.7,83.2,32,
WI,Wisconsin,13.2,13.12952158,94.33185632,73.44469963,63.1,91.5,17.4,80.4,28.3,
WY,Wyoming,11.2,6.662252681,95.16445178,74.56237629,51.7,84.9,19.5,71.2,27.9,
PR,Puerto Rico,46.2,38.67319557,96.95,38.34772969,29.3,94.1,11.3,92.4,43.5,
